idx,mu0,mu1,fom_time_s,rom_time_s,podnn_time_s,rom_rel_l2_u,podnn_rel_l2_u,rom_rel_l2_p,podnn_rel_l2_p,rom_rel_h1_u,podnn_rel_h1_u,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
82,5.593039446975686,1.7418445677248775,0.08681106567382812,0.005674123764038086,0.00024175643920898438,0.011195969357067227,0.03806150649564175,0.0038617588248256855,0.012917805780492593,0.0133457867877585,0.05594871582561735,0.004064798355102539,0.28244873626877914,0.895805932911891,0.38341463964743994
83,8.31491845701089,2.6165029441286034,0.0884852409362793,0.0053119659423828125,0.00023865699768066406,0.02436004155692206,0.0866450904693277,0.0023586075154281515,0.012901508455852216,0.01995223924028237,0.11224633459755501,0.0056040287017822266,0.6159675135021767,0.8566526492384604,0.7408009922492859
84,3.239675038944882,2.9057987901394897,0.08928322792053223,0.004785060882568359,0.00024390220642089844,0.031240693364174336,0.042523991920795076,0.005492102470605616,0.011365628565743439,0.02684151329046536,0.03994290634494215,0.006331920623779297,0.5150877980055127,1.0585597513104776,0.5900696143301732
85,2.9800865975871744,2.030114258463429,0.09444713592529297,0.005393028259277344,0.00023889541625976562,0.0054435910232280985,0.010998056048393266,0.027853961397161554,0.02015772902656513,0.010518638310826615,0.015447777901517168,0.006335020065307617,0.22894130800836962,1.5404685341387616,0.2837665951793058
86,2.634054396619267,2.8720871400979266,0.08386397361755371,0.005343914031982422,0.00024509429931640625,0.026887895781134107,0.03473858388987093,0.004449354880311197,0.009722877248498345,0.025035119134449092,0.03697556838038002,0.005808830261230469,0.4571207430638751,0.9892869382822214,0.5537721360179254
87,1.7296173940619797,1.089821238784658,0.11517000198364258,0.005983114242553711,0.00025010108947753906,0.0035653332101721474,0.03017878911916857,0.005356898262868147,0.024346039159477837,0.01038367274848228,0.03919082495978581,0.0074770450592041016,0.20379376797006757,1.6004779897013797,0.38979611714915496
88,4.407460894030076,2.9847511281116743,0.08412909507751465,0.005182981491088867,0.00024080276489257812,0.05626750296602014,0.1045900943985437,0.002302090076460495,0.02493512579258058,0.04918522616696213,0.1308112696877781,0.007467031478881836,0.8551808783414623,1.1263619820487092,0.8387954840742906
89,8.927604935923648,2.4972160389138987,0.14478302001953125,0.00855112075805664,0.0002410411834716797,0.0056083325872434645,0.08731197690092769,0.0036560394027823047,0.01593241203391579,0.008010671331431964,0.11362212630457806,0.0049817562103271484,0.5803390184001854,0.9747112744115406,0.7064620024910926
90,8.918845659697396,2.786893279395726,0.18141388893127441,0.00625300407409668,0.0002410411834716797,0.017545111288888877,0.13373512204439647,0.004403155565335731,0.01598450781567918,0.016647857126403764,0.18028374007304954,0.004870891571044922,0.7828155353114139,0.9183064031455795,0.8161349115335615
91,5.236697767825846,1.631858103661586,0.08673596382141113,0.0053081512451171875,0.0002372264862060547,0.004459171425979929,0.040933603062168804,0.004560377372907112,0.016947106903753357,0.009006428223104051,0.049621119675296005,0.007630825042724609,0.233331413753102,0.8459221778002562,0.33176097197755905
92,7.742923077898782,2.323322526335522,0.10011625289916992,0.00551605224609375,0.00023603439331054688,0.008256006617345425,0.06311774520961481,0.0025499759966594237,0.00828059835763286,0.013813562719867507,0.08514219358062135,0.0069239139556884766,0.5104645280688228,0.996675283334458,0.6069356224722302
93,3.7992115158497297,1.1889333361230305,0.07587409019470215,0.00448298454284668,0.00023794174194335938,0.011615311731725926,0.026389079047113375,0.010708021573442991,0.025257342181241097,0.02199205669485577,0.05786405599872928,0.00835418701171875,0.20079971370923638,0.9256065141229131,0.3700476946040217
94,7.493217152355357,1.5249210318457294,0.0874319076538086,0.004943132400512695,0.00024199485778808594,0.012685368386781757,0.057885575641204015,0.0065462740234462575,0.026273727093845532,0.018833734458164893,0.08333352048885036,0.006585836410522461,0.2787457785171507,0.8790918960167652,0.34471407696854667
95,9.374450190284415,1.4819411500113695,0.07274794578552246,0.0051288604736328125,0.00024080276489257812,0.01071033868468103,0.0889209644826963,0.00786804183979356,0.0358865285978433,0.017639177051414056,0.12855993271468355,0.0051381587982177734,0.3382245821341063,0.8976361091302741,0.4024416829979688
